#jei修正为jie
ajie	ajei
ggou	ggiu
ghou	ghiu
ugou	ugiu
uhou	uhiu
ukou	ukiu
umou	umiu
utou	utiu
uyou	uyiu
uzou	uziu
omou	omiu
ahou	ahiu
gmou	gmiu
urou	uriu
ucou	uciu
amou	amiu
arou	ariu
gfou	gfiu
ekou	ekiu
rgou	rgiu
rhou	rhiu
rtou	rtiu
ryou	ryiu
rzou	rziu
azou	aziu
nfou	nfiu
emou	emiu
epou	epiu
ncou	nciu
efou	efiu
icou	iciu
vhou	vhiu
vmou	vmiu
vrou	vriu
vtou	vtiu
vyou	vyiu
gcou	gciu
ofou	ofiu
acou	aciu
ufou	ufiu
rkou	rkiu
rrou	rriu
vzou	vziu
ipou	ipiu
npou	npiu
apou	apiu
ecou	eciu
opou	opiu
asou	asiu
usou	usiu
osou	osiu
rsou	rsiu
gsou	gsiu
isou	isiu
esou	esiu
nsou	nsiu
agou	agiu
ayou	ayiu
igou	igiu
ihou	ihiu
ikou	ikiu
izou	iziu
ngou	ngiu
nhou	nhiu
nkou	nkiu
nmou	nmiu
nrou	nriu
ntou	ntiu
nyou	nyiu
gtou	gtiu
ogou	ogiu
okou	okiu
otou	otiu
oyou	oyiu
akou	akiu
atou	atiu
imou	imiu
irou	iriu
itou	itiu
nzou	nziu
grou	griu
gzou	gziu
ohou	ohiu
orou	oriu
ozou	oziu
ifou	ifiu
gkou	gkiu
gyou	gyiu
egou	egiu
ehou	ehiu
erou	eriu
etou	etiu
eyou	eyiu
ezou	eziu
ggou	ggiu
ghou	ghiu
ugou	ugiu
uhou	uhiu
ukou	ukiu
umou	umiu
utou	utiu
uyou	uyiu
uzou	uziu
omou	omiu
ahou	ahiu
gmou	gmiu
urou	uriu
ucou	uciu
amou	amiu
arou	ariu
gfou	gfiu
ekou	ekiu
rgou	rgiu
rhou	rhiu
rtou	rtiu
ryou	ryiu
rzou	rziu
azou	aziu
nfou	nfiu
emou	emiu
epou	epiu
ncou	nciu
efou	efiu
icou	iciu
vhou	vhiu
vmou	vmiu
vrou	vriu
vtou	vtiu
vyou	vyiu
gcou	gciu
ofou	ofiu
acou	aciu
ufou	ufiu
rkou	rkiu
rrou	rriu
vzou	vziu
ipou	ipiu
npou	npiu
apou	apiu
ecou	eciu
opou	opiu
houa	hpua
houb	hpub
houc	hpuc
houd	hpud
houe	hpue
houf	hpuf
houg	hpug
houh	hpuh
houj	hpuj
houk	hpuk
houl	hpul
houm	hpum
houn	hpun
houp	hpup
houq	hpuq
hour	hpur
hous	hpus
hout	hput
houw	hpuw
houx	hpux
houy	hpuy
houz	hpuz
couc	cpuc
coud	cpud
coug	cpug
couh	cpuh
couj	cpuj
coul	cpul
coum	cpum
couq	cpuq
cous	cpus
coux	cpux
couz	cpuz
doua	dpua
doub	dpub
douc	dpuc
doud	dpud
doue	dpue
douf	dpuf
doug	dpug
douh	dpuh
douj	dpuj
douk	dpuk
doul	dpul
doum	dpum
doun	dpun
douo	dpuo
doup	dpup
douq	dpuq
dour	dpur
dous	dpus
dout	dput
douw	dpuw
doux	dpux
douy	dpuy
douz	dpuz
foud	fpud
fouj	fpuj
foul	fpul
four	fpur
fouz	fpuz
koua	kpua
koub	kpub
kouc	kpuc
koud	kpud
koue	kpue
kouf	kpuf
koug	kpug
kouh	kpuh
kouj	kpuj
kouk	kpuk
koul	kpul
koum	kpum
koun	kpun
koup	kpup
kouq	kpuq
kour	kpur
kous	kpus
kout	kput
kouw	kpuw
koux	kpux
kouy	kpuy
kouz	kpuz
loub	lpub
louc	lpuc
loud	lpud
loue	lpue
louf	lpuf
loug	lpug
louh	lpuh
louj	lpuj
louk	lpuk
loul	lpul
loum	lpum
loun	lpun
loup	lpup
louq	lpuq
lour	lpur
lous	lpus
lout	lput
louw	lpuw
loux	lpux
louy	lpuy
louz	lpuz
moub	mpub
mouc	mpuc
moud	mpud
moue	mpue
mouf	mpuf
moug	mpug
mouh	mpuh
mouj	mpuj
mouk	mpuk
moul	mpul
moum	mpum
moun	mpun
moup	mpup
mouq	mpuq
mour	mpur
mout	mput
mouw	mpuw
moux	mpux
mouy	mpuy
mouz	mpuz
poub	ppub
pouc	ppuc
pouf	ppuf
pouj	ppuj
pouk	ppuk
poum	ppum
pous	ppus
poux	ppux
roub	rpub
rouc	rpuc
roud	rpud
rouf	rpuf
roug	rpug
rouh	rpuh
rouj	rpuj
rouk	rpuk
roul	rpul
roum	rpum
roun	rpun
roup	rpup
rouq	rpuq
rour	rpur
rous	rpus
rout	rput
rouw	rpuw
roux	rpux
rouy	rpuy
rouz	rpuz
soua	spua
soub	spub
souc	spuc
soud	spud
souf	spuf
soug	spug
souh	spuh
souj	spuj
soul	spul
soum	spum
souq	spuq
sour	spur
sous	spus
sout	sput
souw	spuw
soux	spux
souz	spuz
toua	tpua
toub	tpub
touc	tpuc
toud	tpud
toue	tpue
touf	tpuf
toug	tpug
touh	tpuh
touj	tpuj
touk	tpuk
toul	tpul
toum	tpum
toun	tpun
toup	tpup
touq	tpuq
tour	tpur
tous	tpus
tout	tput
touw	tpuw
toux	tpux
touy	tpuy
touz	tpuz
youa	ypua
youb	ypub
youc	ypuc
youd	ypud
youe	ypue
youf	ypuf
youg	ypug
youh	ypuh
youj	ypuj
youk	ypuk
youl	ypul
youm	ypum
youn	ypun
youo	ypuo
youp	ypup
youq	ypuq
your	ypur
yous	ypus
yout	yput
youw	ypuw
youx	ypux
youy	ypuy
youz	ypuz
zoua	zpua
zoub	zpub
zouc	zpuc
zoud	zpud
zouf	zpuf
zoug	zpug
zouh	zpuh
zouj	zpuj
zouk	zpuk
zoul	zpul
zoum	zpum
zoun	zpun
zoup	zpup
zouq	zpuq
zour	zpur
zous	zpus
zout	zput
zouw	zpuw
zoux	zpux
zouy	zpuy
zouz	zpuz
soup	spup
loua	lpua
roua	rpua
coub	cpub
couf	cpuf
cour	cpur
couy	cpuy
couw	cpuw
fouw	fpuw
souk	spuk
foua	fpua
fouc	fpuc
fouf	fpuf
foug	fpug
fouh	fpuh
fouk	fpuk
foum	fpum
foux	fpux
fouy	fpuy
houo	hpuo
pout	pput
foub	fpub
fous	fpus
poud	ppud
poug	ppug
poul	ppul
coua	cpua
souy	spuy
roue	rpue
moua	mpua
foun	fpun
soun	spun
nouj	npuj
poue	ppue
pouw	ppuw
touo	tpuo
zoue	zpue
houa	hiua
houb	hiub
houc	hiuc
houd	hiud
houe	hiue
houf	hiuf
houg	hiug
houh	hiuh
houj	hiuj
houk	hiuk
houl	hiul
houm	hium
houn	hiun
houp	hiup
houq	hiuq
hour	hiur
hous	hius
hout	hiut
houw	hiuw
houx	hiux
houy	hiuy
houz	hiuz
couc	ciuc
coud	ciud
coug	ciug
couh	ciuh
couj	ciuj
coul	ciul
coum	cium
couq	ciuq
cous	cius
coux	ciux
couz	ciuz
foud	fiud
fouj	fiuj
foul	fiul
four	fiur
fouz	fiuz
goua	giua
goub	giub
gouc	giuc
goud	giud
goue	giue
gouf	giuf
goug	giug
gouh	giuh
gouj	giuj
gouk	giuk
goul	giul
goum	gium
goun	giun
goup	giup
gouq	giuq
gour	giur
gous	gius
gout	giut
gouw	giuw
goux	giux
gouy	giuy
gouz	giuz
koua	kiua
koub	kiub
kouc	kiuc
koud	kiud
koue	kiue
kouf	kiuf
koug	kiug
kouh	kiuh
kouj	kiuj
kouk	kiuk
koul	kiul
koum	kium
koun	kiun
koup	kiup
kouq	kiuq
kour	kiur
kous	kius
kout	kiut
kouw	kiuw
koux	kiux
kouy	kiuy
kouz	kiuz
moub	miub
mouc	miuc
moud	miud
moue	miue
mouf	miuf
moug	miug
mouh	miuh
mouj	miuj
mouk	miuk
moul	miul
moum	mium
moun	miun
moup	miup
mouq	miuq
mour	miur
mous	mius
mout	miut
mouw	miuw
moux	miux
mouy	miuy
mouz	miuz
poub	piub
pouc	piuc
pouf	piuf
pouj	piuj
pouk	piuk
poum	pium
pous	pius
poux	piux
roub	riub
rouc	riuc
roud	riud
rouf	riuf
roug	riug
rouh	riuh
rouj	riuj
rouk	riuk
roul	riul
roum	rium
roun	riun
roup	riup
rouq	riuq
rour	riur
rous	rius
rout	riut
rouw	riuw
roux	riux
rouy	riuy
rouz	riuz
soua	siua
soub	siub
souc	siuc
soud	siud
souf	siuf
soug	siug
souh	siuh
souj	siuj
soul	siul
soum	sium
souq	siuq
sour	siur
sous	sius
sout	siut
souw	siuw
soux	siux
souz	siuz
toua	tiua
toub	tiub
touc	tiuc
toud	tiud
toue	tiue
touf	tiuf
toug	tiug
touh	tiuh
touj	tiuj
touk	tiuk
toul	tiul
toum	tium
toun	tiun
toup	tiup
touq	tiuq
tour	tiur
tous	tius
tout	tiut
touw	tiuw
toux	tiux
touy	tiuy
touz	tiuz
youa	yiua
youb	yiub
youc	yiuc
youd	yiud
youe	yiue
youf	yiuf
youg	yiug
youh	yiuh
youj	yiuj
youk	yiuk
youl	yiul
youm	yium
youn	yiun
youo	yiuo
youp	yiup
youq	yiuq
your	yiur
yous	yius
yout	yiut
youw	yiuw
youx	yiux
youy	yiuy
youz	yiuz
zoua	ziua
zoub	ziub
zouc	ziuc
zoud	ziud
zouf	ziuf
zoug	ziug
zouh	ziuh
zouj	ziuj
zouk	ziuk
zoul	ziul
zoum	zium
zoun	ziun
zoup	ziup
zouq	ziuq
zour	ziur
zous	zius
zout	ziut
zouw	ziuw
zoux	ziux
zouy	ziuy
zouz	ziuz
soup	siup
roua	riua
coub	ciub
couf	ciuf
cour	ciur
couy	ciuy
couw	ciuw
fouw	fiuw
souk	siuk
foua	fiua
fouc	fiuc
fouf	fiuf
foug	fiug
fouh	fiuh
fouk	fiuk
foum	fium
foux	fiux
fouy	fiuy
houo	hiuo
pout	piut
foub	fiub
fous	fius
poud	piud
poug	piug
poul	piul
coua	ciua
souy	siuy
roue	riue
moua	miua
foun	fiun
soun	siun
nouj	niuj
poue	piue
pouw	piuw
touo	tiuo
zoue	ziue
#egn修正为eng
heng	hegn
deng	degn
feng	fegn
meng	megn
peng	pegn
weng	wegn
zeng	zegn
keng	kegn
leng	legn
neng	negn
teng	tegn
ceng	cegn
geng	gegn
reng	regn
beng	begn
seng	segn
#emg修正为eng
heng	hemg
deng	demg
feng	femg
meng	memg
peng	pemg
weng	wemg
zeng	zemg
keng	kemg
leng	lemg
neng	nemg
teng	temg
ceng	cemg
geng	gemg
reng	remg
beng	bemg
seng	semg
#agn修正为ang
hang	hagn
fang	fagn
gang	gagn
uang	uagn
iang	iagn
kang	kagn
lang	lagn
mang	magn
sang	sagn
tang	tagn
wang	wagn
yang	yagn
bang	bagn
cang	cagn
dang	dagn
pang	pagn
zang	zagn
nang	nagn
rang	ragn
#amg修正为ang
hang	hamg
fang	famg
gang	gamg
uang	uamg
iang	iamg
kang	kamg
lang	lamg
mang	mamg
sang	samg
tang	tamg
wang	wamg
yang	yamg
bang	bamg
cang	camg
dang	damg
pang	pamg
zang	zamg
nang	namg
rang	ramg
#ogn修正为ong
dong	dogn
gong	gogn
hong	hogn
long	logn
nong	nogn
iong	iogn
iong	oign
iong	inog
iong	oing
rong	rogn
song	sogn
yong	yogn
tong	togn
zong	zogn
kong	kogn
cong	cogn
#omg修正为ong
dong	domg
gong	gomg
hong	homg
long	lomg
nong	nomg
iong	iomg
iong	oimg
rong	romg
song	somg
yong	yomg
tong	tomg
zong	zomg
kong	komg
cong	comg
#png修正为ong
dong	dpng
gong	gpng
hong	hpng
long	lpng
nong	npng
iong	ipng
rong	rpng
song	spng
yong	ypng
tong	tpng
zong	zpng
kong	kpng
cong	cpng
#pmg修正为ong
dong	dpmg
gong	gpmg
hong	hpmg
long	lpmg
nong	npmg
iong	ipmg
rong	rpmg
song	spmg
yong	ypmg
tong	tpmg
zong	zpmg
kong	kpmg
cong	cpmg
#i修正为o
gong	ging
hong	hing
rong	ring
song	sing
zong	zing
cong	cing
#kong	king
#由于上面是king英文，滞后一步处理
konga	kinga
kongb	kingb
kongc	kingc
kongd	kingd
konge	kinge
kongf	kingf
kongg	kingg
kongh	kingh
kongj	kingj
kongk	kingk
kongl	kingl
kongm	kingm
kongn	kingn
kongp	kingp
kongq	kingq
kongr	kingr
kongs	kings
kongt	kingt
kongw	kingw
kongx	kingx
kongy	kingy
kongz	kingz
#iam修正为ian
bian	biam
mian	miam
nian	niam
pian	piam
dian	diam
tian	tiam
#ign修正为ing
ding	dign
bing	bign
jing	jign
ling	lign
ming	mign
ning	nign
ping	pign
qing	qign
xing	xign
ying	yign
ting	tign
#img修正为ing
ding	dimg
bing	bimg
jing	jimg
ling	limg
ming	mimg
ning	nimg
ping	pimg
qing	qimg
xing	ximg
ying	yimg
ting	timg
#o修正为i
bing	bong
jing	jong
ming	mong
ping	pong
qing	qong
xing	xong
#eu修正为ue
nue	neu
lue	leu
yue	yeu
jue	jeu
que	qeu
xue	xeu
nue	nur
#sh相关
sheia	shiea
sheib	shieb
sheic	shiec
sheid	shied
sheif	shief
sheig	shieg
sheih	shieh
sheij	shiej
sheik	shiek
sheil	shiel
sheim	shiem
sheio	shieo
sheip	shiep
sheiq	shieq
sheis	shies
sheiw	shiew
sheix	shiex
sheiy	shiey
sheiz	shiez
sheit	shiet
shier	shiee
#ch相关
chuai	cuai
#zua可能存在zu ai,只对以下纠错
zhuaj	zuaj
zhuab	zuab
zhuac	zuac
zhuad	zuad
zhuae	zuae
zhuaf	zuaf
zhuag	zuag
zhuah	zuah
zhuaj	zuaj
zhuak	zuak
zhual	zual
zhuam	zuam
zhuap	zuap
zhuaq	zuaq
zhuar	zuar
zhuas	zuas
zhuat	zuat
zhuaw	zuaw
zhuax	zuax
zhuay	zuay
zhuaz	zuaz
zhuaa	zuaa
#[zsc]j+原音修正为[zsc]h
zhe	zje
zha	zja
#zhi	zji冲突
zho	zjo
#zhu	zju冲突
che	cje
cha	cja
#chi	cji冲突
cho	cjo
#chu	cju冲突
she	sje
sha	sja
#shi	sji冲突
sho	sjo
#shu	sju冲突
#ew修正为ue横向偏移
jueb	juwb
jued	juwd
juef	juwf
juej	juwj
juek	juwk
juel	juwl
juem	juwm
juen	juwn
juep	juwp
jueq	juwq
jues	juws
juet	juwt
juwe	juww
juex	juwx
juey	juwy
juez	juwz
luec	luwc
lued	luwd
luef	luwf
lueg	luwg
lueh	luwh
luej	luwj
luem	luwm
lueq	luwq
luer	luwr
lues	luws
luet	luwt
luew	luww
luex	luwx
luey	luwy
luez	luwz
nuec	nuwc
nued	nuwd
nueg	nuwg
nuej	nuwj
nuel	nuwl
nuem	nuwm
nueq	nuwq
nuer	nuwr
nues	nuws
nuet	nuwt
nuew	nuww
nuex	nuwx
queb	quwb
quec	quwc
qued	quwd
quef	quwf
queg	quwg
queh	quwh
quek	quwk
queq	quwq
quer	quwr
ques	quws
quet	quwt
quwe	quww
quex	quwx
quey	quwy
quez	quwz
xuea	xuwa
xueb	xuwb
xuec	xuwc
xued	xuwd
xuef	xuwf
xueg	xuwg
xueh	xuwh
xuej	xuwj
xuek	xuwk
xuel	xuwl
xuem	xuwm
xuen	xuwn
xuep	xuwp
xueq	xuwq
xuer	xuwr
xues	xuws
xuet	xuwt
xuwe	xuww
xuex	xuwx
xuey	xuwy
xuez	xuwz
yueb	yuwb
yuec	yuwc
yued	yuwd
yuef	yuwf
yueg	yuwg
yueh	yuwh
yuej	yuwj
yuek	yuwk
yuel	yuwl
yuem	yuwm
yuen	yuwn
yuep	yuwp
yueq	yuwq
yuwe	yuwr
yues	yuws
yuet	yuwt
yuwe	yuww
yuex	yuwx
yuey	yuwy
yuez	yuwz
nueb	nuwb
nuek	nuwk
nuey	nuwy
nuen	nuwn
nuep	nuwp
nuez	nuwz
gengxin	genxin
gengxin	gegxin
ngduo	ngudo
yinggai	yingai
#eo修正为ei横向偏移
bei	beo
fei	feo
wei	weo
tei	teo
zei	zeo
